[2026-02-25 22:14:41.088][TRC][Px43524][Tx55825] -----------------------------
[2026-02-25 22:14:41.088][TRC][Px43524][Tx55825] MaaCore Process Start
[2026-02-25 22:14:41.088][TRC][Px43524][Tx55825] Version v6.3.2
[2026-02-25 22:14:41.088][TRC][Px43524][Tx55825] Built at Feb 18 2026 15:39:24
[2026-02-25 22:14:41.088][TRC][Px43524][Tx55825] User Dir c:\Users\xray\Documents\ArkStudio\ReAcrture\client\maa_integration
[2026-02-25 22:14:41.088][TRC][Px43524][Tx55825] -----------------------------
[2026-02-25 22:14:41.088][TRC][Px43524][Tx55825] asst::ResourceLoader::load | enter
[2026-02-25 22:14:41.126][TRC][Px43524][Tx55825] asst::OnnxSessions::load | enter
[2026-02-25 22:14:41.126][INF][Px43524][Tx55825] record path resource\onnx\skill_ready_cls.onnx
[2026-02-25 22:14:41.127][TRC][Px43524][Tx55825] asst::OnnxSessions::load | leave, 0 ms
[2026-02-25 22:14:41.127][TRC][Px43524][Tx55825] asst::OnnxSessions::load | enter
[2026-02-25 22:14:41.127][INF][Px43524][Tx55825] record path resource\onnx\deploy_direction_cls.onnx
[2026-02-25 22:14:41.127][TRC][Px43524][Tx55825] asst::OnnxSessions::load | leave, 0 ms
[2026-02-25 22:14:41.128][TRC][Px43524][Tx55825] asst::OnnxSessions::load | enter
[2026-02-25 22:14:41.128][INF][Px43524][Tx55825] record path resource\onnx\operators_det.onnx
[2026-02-25 22:14:41.128][TRC][Px43524][Tx55825] asst::OnnxSessions::load | leave, 0 ms
[2026-02-25 22:14:41.128][TRC][Px43524][Tx55825] asst::OcrPack::OcrPack | enter
[2026-02-25 22:14:41.128][TRC][Px43524][Tx55825] asst::OcrPack::OcrPack | leave, 0 ms
[2026-02-25 22:14:41.128][TRC][Px43524][Tx55825] asst::OcrPack::load | enter
[2026-02-25 22:14:41.128][INF][Px43524][Tx55825] load resource\PaddleOCR
[2026-02-25 22:14:41.128][TRC][Px43524][Tx55825] asst::OcrPack::load | leave, 0 ms
[2026-02-25 22:14:41.128][TRC][Px43524][Tx55825] asst::OcrPack::OcrPack | enter
[2026-02-25 22:14:41.128][TRC][Px43524][Tx55825] asst::OcrPack::OcrPack | leave, 0 ms
[2026-02-25 22:14:41.128][TRC][Px43524][Tx55825] asst::OcrPack::load | enter
[2026-02-25 22:14:41.128][INF][Px43524][Tx55825] load resource\PaddleCharOCR
[2026-02-25 22:14:41.128][TRC][Px43524][Tx55825] asst::OcrPack::load | leave, 0 ms
[2026-02-25 22:14:41.128][TRC][Px43524][Tx55825] asst::GeneralConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:41.130][TRC][Px43524][Tx55825] asst::GeneralConfig::parse | enter
[2026-02-25 22:14:41.130][TRC][Px43524][Tx55825] asst::GeneralConfig::parse | leave, 0 ms
[2026-02-25 22:14:41.130][TRC][Px43524][Tx55825] asst::GeneralConfig :: asst::AbstractConfig::load | leave, 2 ms
[2026-02-25 22:14:41.131][TRC][Px43524][Tx55825] asst::RecruitConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:41.141][TRC][Px43524][Tx55825] asst::RecruitConfig::parse | enter
[2026-02-25 22:14:41.141][TRC][Px43524][Tx55825] asst::RecruitConfig::clear | enter
[2026-02-25 22:14:41.141][TRC][Px43524][Tx55825] asst::RecruitConfig::clear | leave, 0 ms
[2026-02-25 22:14:41.142][TRC][Px43524][Tx55825] asst::RecruitConfig::parse | leave, 0 ms
[2026-02-25 22:14:41.142][TRC][Px43524][Tx55825] asst::RecruitConfig :: asst::AbstractConfig::load | leave, 10 ms
[2026-02-25 22:14:41.142][TRC][Px43524][Tx55825] asst::BattleDataConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:41.160][TRC][Px43524][Tx55825] asst::BattleDataConfig::parse | enter
[2026-02-25 22:14:41.161][TRC][Px43524][Tx55825] asst::BattleDataConfig::parse | leave, 1 ms
[2026-02-25 22:14:41.162][TRC][Px43524][Tx55825] asst::BattleDataConfig :: asst::AbstractConfig::load | leave, 20 ms
[2026-02-25 22:14:41.163][TRC][Px43524][Tx55825] asst::OcrConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:41.164][TRC][Px43524][Tx55825] asst::OcrConfig::parse | enter
[2026-02-25 22:14:41.164][TRC][Px43524][Tx55825] asst::OcrConfig::parse | leave, 0 ms
[2026-02-25 22:14:41.164][TRC][Px43524][Tx55825] asst::OcrConfig :: asst::AbstractConfig::load | leave, 1 ms
[2026-02-25 22:14:41.165][TRC][Px43524][Tx55825] asst::AvatarCacheManager::load | enter
[2026-02-25 22:14:41.165][INF][Px43524][Tx55825] load cache\avatars
[2026-02-25 22:14:41.165][TRC][Px43524][Tx55825] asst::AvatarCacheManager::load | leave, 0 ms
[2026-02-25 22:14:41.165][TRC][Px43524][Tx5310] asst::AvatarCacheManager::_load | enter
[2026-02-25 22:14:41.166][TRC][Px43524][Tx5310] asst::AvatarCacheManager::_load | leave, 0 ms
[2026-02-25 22:14:41.166][TRC][Px43524][Tx55825] TaskData::load | enter
[2026-02-25 22:14:41.347][TRC][Px43524][Tx55825] asst::TaskData::parse | enter
[2026-02-25 22:14:41.347][TRC][Px43524][Tx55825] asst::TaskData::lazy_parse | enter
[2026-02-25 22:14:41.352][TRC][Px43524][Tx55825] asst::TaskData::lazy_parse | leave, 4 ms
[2026-02-25 22:14:41.426][TRC][Px43524][Tx55825] asst::TaskData::parse | leave, 79 ms
[2026-02-25 22:14:41.433][TRC][Px43524][Tx55825] TaskData::load | leave, 267 ms
[2026-02-25 22:14:41.434][TRC][Px43524][Tx55825] asst::TemplResource::load | enter
[2026-02-25 22:14:41.434][INF][Px43524][Tx55825] load resource\template
[2026-02-25 22:14:41.487][TRC][Px43524][Tx55825] asst::TemplResource::load | leave, 53 ms
[2026-02-25 22:14:41.488][TRC][Px43524][Tx55825] asst::InfrastConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:41.500][TRC][Px43524][Tx55825] asst::InfrastConfig::parse | enter
[2026-02-25 22:14:41.501][TRC][Px43524][Tx55825] asst::InfrastConfig::parse | leave, 1 ms
[2026-02-25 22:14:41.501][TRC][Px43524][Tx55825] asst::InfrastConfig :: asst::AbstractConfig::load | leave, 14 ms
[2026-02-25 22:14:41.502][TRC][Px43524][Tx55825] asst::TemplResource::load | enter
[2026-02-25 22:14:41.502][INF][Px43524][Tx55825] load resource\template\infrast
[2026-02-25 22:14:41.504][TRC][Px43524][Tx55825] asst::TemplResource::load | leave, 1 ms
[2026-02-25 22:14:41.504][TRC][Px43524][Tx55825] asst::ItemConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:41.515][TRC][Px43524][Tx55825] asst::ItemConfig::parse | enter
[2026-02-25 22:14:41.515][TRC][Px43524][Tx55825] asst::ItemConfig::parse | leave, 0 ms
[2026-02-25 22:14:41.515][TRC][Px43524][Tx55825] asst::ItemConfig :: asst::AbstractConfig::load | leave, 11 ms
[2026-02-25 22:14:41.515][TRC][Px43524][Tx55825] asst::TemplResource::load | enter
[2026-02-25 22:14:41.515][INF][Px43524][Tx55825] load resource\template\items
[2026-02-25 22:14:41.518][TRC][Px43524][Tx55825] asst::TemplResource::load | leave, 2 ms
[2026-02-25 22:14:41.518][TRC][Px43524][Tx55825] asst::StageDropsConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:41.537][TRC][Px43524][Tx55825] asst::StageDropsConfig::parse | enter
[2026-02-25 22:14:41.540][TRC][Px43524][Tx55825] asst::StageDropsConfig::parse | leave, 3 ms
[2026-02-25 22:14:41.541][TRC][Px43524][Tx55825] asst::StageDropsConfig :: asst::AbstractConfig::load | leave, 23 ms
[2026-02-25 22:14:41.542][TRC][Px43524][Tx55825] asst::TilePack :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:41.562][TRC][Px43524][Tx55825] asst::TilePack::parse | enter
[2026-02-25 22:14:41.565][TRC][Px43524][Tx55825] asst::TilePack::parse | leave, 3 ms
[2026-02-25 22:14:41.568][TRC][Px43524][Tx55825] asst::TilePack :: asst::AbstractConfig::load | leave, 26 ms
[2026-02-25 22:14:41.569][TRC][Px43524][Tx55825] asst::RoguelikeCopilotConfig::load | enter
[2026-02-25 22:14:41.706][TRC][Px43524][Tx55825] asst::RoguelikeCopilotConfig::load | leave, 138 ms
[2026-02-25 22:14:41.707][TRC][Px43524][Tx55825] asst::RoguelikeCopilotConfig::load | enter
[2026-02-25 22:14:41.833][TRC][Px43524][Tx55825] asst::RoguelikeCopilotConfig::load | leave, 125 ms
[2026-02-25 22:14:41.834][TRC][Px43524][Tx55825] asst::RoguelikeCopilotConfig::load | enter
[2026-02-25 22:14:41.927][TRC][Px43524][Tx55825] asst::RoguelikeCopilotConfig::load | leave, 92 ms
[2026-02-25 22:14:41.928][TRC][Px43524][Tx55825] asst::RoguelikeCopilotConfig::load | enter
[2026-02-25 22:14:41.988][TRC][Px43524][Tx55825] asst::RoguelikeCopilotConfig::load | leave, 61 ms
[2026-02-25 22:14:41.989][TRC][Px43524][Tx55825] asst::RoguelikeCopilotConfig::load | enter
[2026-02-25 22:14:42.055][TRC][Px43524][Tx55825] asst::RoguelikeCopilotConfig::load | leave, 65 ms
[2026-02-25 22:14:42.056][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:42.065][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig::parse | enter
[2026-02-25 22:14:42.068][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig::parse | leave, 2 ms
[2026-02-25 22:14:42.068][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 12 ms
[2026-02-25 22:14:42.068][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:42.078][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig::parse | enter
[2026-02-25 22:14:42.080][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig::parse | leave, 1 ms
[2026-02-25 22:14:42.080][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 11 ms
[2026-02-25 22:14:42.081][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:42.091][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig::parse | enter
[2026-02-25 22:14:42.094][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig::parse | leave, 2 ms
[2026-02-25 22:14:42.094][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 14 ms
[2026-02-25 22:14:42.094][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:42.106][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig::parse | enter
[2026-02-25 22:14:42.108][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig::parse | leave, 2 ms
[2026-02-25 22:14:42.109][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 13 ms
[2026-02-25 22:14:42.109][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:42.120][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig::parse | enter
[2026-02-25 22:14:42.123][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig::parse | leave, 2 ms
[2026-02-25 22:14:42.123][TRC][Px43524][Tx55825] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 13 ms
[2026-02-25 22:14:42.123][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:42.134][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig::parse | enter
[2026-02-25 22:14:42.134][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig::parse | leave, 0 ms
[2026-02-25 22:14:42.134][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | leave, 11 ms
[2026-02-25 22:14:42.135][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:42.145][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig::parse | enter
[2026-02-25 22:14:42.145][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig::parse | leave, 0 ms
[2026-02-25 22:14:42.145][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | leave, 9 ms
[2026-02-25 22:14:42.146][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:42.154][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig::parse | enter
[2026-02-25 22:14:42.155][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig::parse | leave, 0 ms
[2026-02-25 22:14:42.155][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | leave, 9 ms
[2026-02-25 22:14:42.155][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:42.164][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig::parse | enter
[2026-02-25 22:14:42.164][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig::parse | leave, 0 ms
[2026-02-25 22:14:42.164][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | leave, 9 ms
[2026-02-25 22:14:42.164][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:42.173][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig::parse | enter
[2026-02-25 22:14:42.173][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig::parse | leave, 0 ms
[2026-02-25 22:14:42.173][TRC][Px43524][Tx55825] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | leave, 8 ms
[2026-02-25 22:14:42.174][TRC][Px43524][Tx55825] asst::RoguelikeStageEncounterConfig :: asst::AbstractConfig::load | enter
[2026-02-25 22:14:42.175][TRC][Px43524][Tx55825] asst::RoguelikeStageEncounterConfig::parse | enter
[2026-02-25 22:14:42.175][TRC][Px43524][Tx55825] asst::RoguelikeStageEncounterConfig::parse | leave, 0 ms
[2026-02-25 22:14:42.175][TRC][Px43524][Tx55825] asst::RoguelikeStageEncounterConfig :: asst::AbstractConfig::load | leave, 1 ms
